id,Collection Name,Files,File sources,Tags,Dublin Core : Title,Dublin Core : Description,Dublin Core : Creator,Dublin Core : Source,Dublin Core : Publisher,Dublin Core : Date,timestamp,Dublin Core : Contributor,Dublin Core : Rights,Dublin Core : Format,Dublin Core : Type,Dublin Core : Is Part Of,Dublin Core : Is Referenced By,Dublin Core : References,Dublin Core : Medium,Dublin Core : Rights Holder
2001,1980-1989,https://bga.uniandes.edu.co/catalogo/files/original/5f88a0d319ddc0784120284b27325cdb.jpg,BG_EL ULTIMO GRITO.jpg,,El último grito,,Beatriz González,,,1988,1988-01-01T00:00:00Z,,,75x75 cm,obra,"1990 Beatriz González Una década 1980-1990 Museo de Arte de la Universidad Nacional de Colombia, Bogotá
1990 Beatriz González Galería Garcés Velasquez Bogotá",,,Óleo sobre papel,
2002,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/78aaa3823246df905419a4d93c94a5ef.jpg,BG_18 Mayo 1988.jpg,,"Recorte con la noticia ""La amistad ante todo""",,,,Periódico EL TIEMPO,18/05/1988,1988-05-18T00:00:00Z,,,,referente,,,,,
2003,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/2ad150a66fa620bd2d6ad6b6e0cead75.jpg; https://bga.uniandes.edu.co/catalogo/files/original/2bc33fbd901d03cdf5541abfc1d1809a.jpg,BG_FUENTES_2_ALaSalidadelCamerino.jpg; BG_FUENTES_ALaSalidadelCamerino.jpg,,"Recorte con la noticia ""Gloria Zea: ¡Modeo internacional!""",,,,,,,,,,referente,,,,,
2004,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/6f8d2e7f4987e50edce2c834e36fac91.jpg,BG_FUENTES_ApocalipsisCamuflado.jpg,,Recorte de periódico con la noticia de los 25 años del asalto a Saiza (Córdoba),,,,Periódico EL TEIMPO,06/09/1988,1988-06-09T00:00:00Z,,,,referente,,,,,
2005,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/3166fda30c431293bee6c9cc9bebee6c.jpg,BG_FUENTES_LaMascaradeCochise.jpg,,"Recorte de periódico con la noticia "" Ceremonia que se repite para Omar Hernández""",,,,,,,Fotógrafo: Ricardo Ruiz,,,referente,,,,,
2006,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/fdbd8d9f34bbd46b6ac922d42b25ceaf.jpg,BG_FUENTES_MaldeOjo.jpg,,Recorte de periódico con la noticia del atentado en la Universidad Nacional.,,,,,07/10/1988,1988-07-10T00:00:00Z,Fotógrafo: Jorge Parga,,,referente,,,,,
2007,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/789bf5903a841ecdcf232cdb0b05d741.jpg,BG_FUENTES_4_OroProNobis.jpg,,Recorte de revista con la imagen de Omar Franco rezando,,,,,,,Fotógrafo: Fabio Cardona,,,referente,,,,,
2008,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/1f8b63255c9c70b4d9e8b917c6da0455.jpg,BG_FUENTES_OroProNobis.jpg,,Recorte de periódico con imagen de perro,,,,,,,Fotógrafo: Jorge Parga,,,referente,,,,,
2009,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/f7610f167a232052266c46a257bf3d97.JPG; https://bga.uniandes.edu.co/catalogo/files/original/a0196e022391358ce92f603bc86731b3.JPG,BG_FUENTES_2_SerieDibujosTurbay_TurbayConParaguas.JPG; BG_FUENTES_SerieDibujosTurbay_TurbayConParaguas.JPG,,"Recorte de periódico con la imagen ""¡Almuerzo...con micos!""",,,,Periódico EL TIEMPO,,,Fotógrafo: Jorge Parga,,,referente,,,,,
2010,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/6bc31ebbf2e2551e2798f7a93dcd136e.JPG,18 Mayo 1980.JPG,,"Recorte de periódico con la imagen ""Despedida en Palacio""",,,,Periódico EL TIMEPO,,,,,,referente,,,,,
2011,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/a3d3c6a6cae02424a719f57b6c65a1c7.JPG,BG_FUENTES_SerieDibujosTurbay_TurbayBienestarFamiliar.JPG,,Recorte de periódico con la imagen de dos pequeñas cogidas de la mano en medio de discurso de Julio César Turbay,,,,Periódico EL TIEMPO,,,Fotógrafo: Benavides,,,referente,,,,,
2012,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/305a8e4b063f1c39757d7fad2d10baf7.JPG,BG_FUENTES_SerieDibujosTurbay_TurbayTabla.JPG,,Recorte de periódico con la imagen  de Julio César Turbay sobre un puente de tabla,,,,Periódico EL TIEMPO,,,Fotógrafo: Jorge Parga,,,referente,,,,,
2013,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/ae07062ec8d68cf507b98a15e8fc5230.JPG,BG_FUENTES_SerieDibujosTurbay_TurbayGobernadorDavila.JPG,,"Recorte de periódico con la imagen de Julio César Turbay 
 cortando la cinta de la inauguración de carretera en Choachi",,,,Periódico EL TIEMPO,,,Fotógrafo: Caicedo,,,referente,,,,,
2014,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/b1fdfe3b26aa07fa8d05db5f61471fcc.JPG,BG_FUENTES_SerieDibujosTurbay_HugoEscobarSierra.JPG,,"Recorte de periódico con la imagen ""Posesión de ministro de Justica""",,,,Periódico EL TIEMPO,,,Fotógrafo: Angel,,,referente,,,,,
2015,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/a4393c381ef7db2fadfa5440d4d6ee4f.JPG,BG_FUENTES_SerieDibujosTurbay_TurbayLopezCondecoracion.JPG,,"Recorte de periódico con la imagen ""Cinco medallas""",,,,Periódico EL TIEMPO,,,Fotógrafo: Miguel Díaz,,,referente,,,,,
2016,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/de9dc16f6555b23fdbff625cf41f5894.JPG,BG_FUENTES_SerieDibujosTurbay_TurbayNidiaEuropa.JPG,,Recorte de periódico con la imagen de Julio César Turbay con su esposa Nidya Quintero en Lisboa,,,,Periódico EL TIEMPO,,,,,,referente,,,,,
2017,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/54e6b8e261ac6dec2b355421a3875479.JPG,BG_FUENTES_SerieDibujosTurbay_TurbayPastrana.JPG,,Recorte de periódico con la imagen de Julio César Turbay en entrevista con Misael Pastrana Borrero,,,,Periódico EL TIEMPO,,,Fotógrafo: Miguel Díaz,,,referente,,,,,
2018,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/eb75772d0cc6c9d532324a345bb33aa0.JPG,BG_FUENTES_SerieDibujosTurbay_TurbayySraLópezPortilloySra.JPG,,Recorte de periódico con la imagen de Julio César Turbay en un brindis con el ex-presidente de México José López Portillo junto a sus esposas,,,,Periódico EL TIEMPO,,,,,,referente,,,,,
2019,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/6dce7286e96ad806d9bb0b57623ccb2e.JPG,BG_FUENTES_SerieDibujosTurbay_Alvaro.JPG,,Recorte de periódico con la imagen de Julio César Turbay junto a Alvaro Goméz Hurtado,,,,Periódico EL TIEMPO,,,Fotógrafo: Hernando Medina,,,referente,,,,,
2020,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/20eaf9530237fe0565ea9339244b1010.JPG,22 Julio 1979.JPG,,"Recorte de periódico con la imagen ""El bastón de mando""",,,,Periódico EL TIEMPO,,,Fotógrafo: Alfonso Angel,,,referente,,,,,
2021,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/f042433a2dc36521fe087573a6de5fdc.jpg,BG_Simbolo del placer.jpg,,Icono de la mudflap girl,,,,,,,,,,referente,,,,,
2022,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/cdcad17dcc58dec042dbe8d8a83e71d1.jpg,BG_FUENTES_1_BocetoElAltar.jpg,,"Recorte de periódico con la noticia ""Genial estuvo René Higuita""",,,,Periódico EL TIEMPO,18/12/1989,1989-12-18T00:00:00Z,,,,referente,,,,,
2023,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/e7a631306bbaa76fb6b3f8cef0228caa.jpg,BG_FUENTES_2_BocetoElAltar.jpg,,Recorte de periódico con la imagen de cuatro mujeres detenidas en un operativo,,,,,,,,,,referente,,,,,
2024,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/951d1d17f29186fbf70ce7472b575a10.JPG,BG_FUENTES_SerieDibujosTurbay_CardenalSanPedro.JPG,,"Recorte de periódico con la imagen ""Condolencia""",,,,Periódico EL TIEMPO,,,Fotógrafo: Miguel Díaz,,,referente,,,,,
2025,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/76a6cdd57318b92efce3fe752eacbc9f.jpg,BG_FUENTES_CondicionNatural.jpg,,"Recorte de periódico con la noticia ""Los muertos quedaron diseminados""",,,,,,,,,,referente,,,,,
2026,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/d03180a6bae80a2852792179e950acc1.jpg; https://bga.uniandes.edu.co/catalogo/files/original/986d4a616cdb8731a33418aa856061ca.jpg,BG_FUENTES_2_DialogoInstitucional.jpg; BG_FUENTES_1_DialogoInstitucional.jpg,,"Recortes de periódico con imágenes de los cadáveres de José Gonzalo Rodríguez Gacha, su hijo y su guardaespaldas.",,,,Periódico EL ESPECTADOR,17/12/1989,1989-12-17T00:00:00Z,,,,referente,,,,,
2027,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/84d2f7fddc568f2abd7ba4836e44247c.JPG,BG_FUENTES_SerieDibujosTurbay_Nuncio.JPG,,Recorte de periódico con la imagen de Pío Loghi en entrevista con Julio César Turbay,,,,Periódico EL TIEMPO,,,,,,referente,,,,,
2028,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/afc63a4e284dd3c8d462a7d7a8281f59.jpg,BG_FUENTES_1_Mantegna90.jpg,,"Recorte de periódico con la noticia ""La calle del dolor y el espanto""",,,,,,,Fotógrafo: Angel Vargas,,,referente,,,,,
2029,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/02a20e58617af023d0386ba05d7f074f.jpg,BG_FUENTES_2_Mantegna90.jpg,,"Recorte de periódico con la noticia ""Desapareció el hombre de la pancarta en crimen de Galán""",,,,Periódico EL TIEMPO,26/05/1990,1990-05-26T00:00:00Z,,,,referente,,,,,
2030,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/0d569001fd627c54ce4236772b88d812.JPG,BG_FUENTES_SerieDibujosTurbay_Paloma.JPG,,"Recorte de periódico con la imagen "" Mensaje de paz y progreso""",,,,Periódico EL TIEMPO,,,Fotógrafo: Hernando Chaves,,,referente,,,,,
2031,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/a7475f29a41f148cdc29592a283c7353.jpg,BG_FUENTES_Palaciegos.jpg,,"Recorte de periódico con la noticia ""Retozo en Palacio""",,,,,,,,,,referente,,,,,
2032,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/3424883c20b2b6e891ded92353f07911.JPG,BG_FUENTES_SerieDibujosTurbay_Anibal.jpg.JPG,,Recorte de periódico con la imagen de Julio César Turbay junto al cardenal Muñoz Duque,,,,Periódico EL TIEMPO,,,,,,referente,,,,,
2033,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/5101640e17aea544dd2a5653e52b532f.JPG,BG_FUENTES_SerieDibujosTurbay_TurbayNidiayAvion.JPG,,Recorte de periódico con la imagen de Julio César Turbay junto a su esposa Nidya Quintero en la cumbre de presidentes andinos en Cartagena,,,,Periódico EL TIEMPO,,,Fotógrafo: Alfonso Angel,,,referente,,,,,
2034,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/8776942986cac175ba4f99dea30bdb1b.jpg,BG_FUENTES_ArcoirisAzul.jpg,,"Recorte de periódico con la noticia ""Frente a frente: iglesia y partidos""",,,,Periódico EL TIEMPO,13/07/1988,1988-07-13T00:00:00Z,,,,referente,,,,,
2035,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/6d16927e800b8a1974682d23f37bcd1e.JPG,BG_FUENTES_SerieDibujosTurbay_Convencion.JPG,,Recorte de periódico con la imagen de Julio César Turbay en la noticia de la sanción a la Ley 95 de 1980,,,,Periódico EL TIEMPO,,,Fotógrafo: Chaves,,,referente,,,,,
