obra_id|obra_url|obra_title|obra_date|obra_medium|obra_format|referente_id|referente_url|referente_title|referente_date|referente_publisher
740|https://bga.uniandes.edu.co/catalogo/api/items/740|Ya llegó la fecha II Tercer boceto|1979|100 x 70 cm|Tinta sobre papel mantequilla |741|https://bga.uniandes.edu.co/catalogo/api/items/741|Ya llegó la fecha II |1979|
740|https://bga.uniandes.edu.co/catalogo/api/items/740|Ya llegó la fecha II Tercer boceto|1979|100 x 70 cm|Tinta sobre papel mantequilla |742|https://bga.uniandes.edu.co/catalogo/api/items/742|Ya llegó la fecha II |1979|
740|https://bga.uniandes.edu.co/catalogo/api/items/740|Ya llegó la fecha II Tercer boceto|1979|100 x 70 cm|Tinta sobre papel mantequilla |743|https://bga.uniandes.edu.co/catalogo/api/items/743|Ya llegó la fecha II|1979|
740|https://bga.uniandes.edu.co/catalogo/api/items/740|Ya llegó la fecha II Tercer boceto|1979|100 x 70 cm|Tinta sobre papel mantequilla |744|https://bga.uniandes.edu.co/catalogo/api/items/744|Ya llegó la fecha II (pruebas de estado)|1979|
734|https://bga.uniandes.edu.co/catalogo/api/items/734|Viva México |1979|100 x 70 cm|Tinta y contact sobre papel |737|https://bga.uniandes.edu.co/catalogo/api/items/737|Viva México|1979|
734|https://bga.uniandes.edu.co/catalogo/api/items/734|Viva México |1979|100 x 70 cm|Tinta y contact sobre papel |736|https://bga.uniandes.edu.co/catalogo/api/items/736|Viva México |1979|
732|https://bga.uniandes.edu.co/catalogo/api/items/732|Boceto para Víctor Mora-Heliograbado|1978|23 x 15.5 cm |Heliograbado sobre papel|733|https://bga.uniandes.edu.co/catalogo/api/items/733|Víctor Mora|1978|
731|https://bga.uniandes.edu.co/catalogo/api/items/731|Boceto para Víctor Mora 6|1978|30 x 35 cm |Marcador sobre papel|733|https://bga.uniandes.edu.co/catalogo/api/items/733|Víctor Mora|1978|
730|https://bga.uniandes.edu.co/catalogo/api/items/730|Boceto para Víctor Mora 5|1978|30 x 35 cm |Marcador sobre papel|733|https://bga.uniandes.edu.co/catalogo/api/items/733|Víctor Mora|1978|
728|https://bga.uniandes.edu.co/catalogo/api/items/728|Boceto para Víctor Mora 3|1978|25 x 50 cm |Marcador sobre papel|733|https://bga.uniandes.edu.co/catalogo/api/items/733|Víctor Mora|1978|
727|https://bga.uniandes.edu.co/catalogo/api/items/727|Boceto para Víctor Mora 2|1978|22.6 x 32.5 cm|Marcador sobre papel mantequilla|733|https://bga.uniandes.edu.co/catalogo/api/items/733|Víctor Mora|1978|
726|https://bga.uniandes.edu.co/catalogo/api/items/726|Boceto para Victor Mora 1|1978|15.5 x 35 cm |Marcador sobre papel|733|https://bga.uniandes.edu.co/catalogo/api/items/733|Víctor Mora|1978|
718|https://bga.uniandes.edu.co/catalogo/api/items/718|Postales González. Mora en leche Boceto|1978|15 x 23 cm|Heliograbado sobre papel Segúndo original|719|https://bga.uniandes.edu.co/catalogo/api/items/719|Postales González. Mora en leche|1978|
716|https://bga.uniandes.edu.co/catalogo/api/items/716|Postales González. Mora en leche Boceto|1978|23 x 15.5 cm|Marcador y lápices de color sobre papel|719|https://bga.uniandes.edu.co/catalogo/api/items/719|Postales González. Mora en leche|1978|
707|https://bga.uniandes.edu.co/catalogo/api/items/707|Postales González. Bocetos|1978|70 x 100 cm|Tinta y contact sobre papel mantequilla|719|https://bga.uniandes.edu.co/catalogo/api/items/719|Postales González. Mora en leche|1978|
682|https://bga.uniandes.edu.co/catalogo/api/items/682|Viva España!!|1976|N/A|Heliograbado sobre papel|683|https://bga.uniandes.edu.co/catalogo/api/items/683|Viva España!!|1976|
677|https://bga.uniandes.edu.co/catalogo/api/items/677|Botticelli bocetos|1976||Marcador y lápiz sobre papel craft. Serie de 6|680|https://bga.uniandes.edu.co/catalogo/api/items/680|Según Botticelli|1976|
677|https://bga.uniandes.edu.co/catalogo/api/items/677|Botticelli bocetos|1976||Marcador y lápiz sobre papel craft. Serie de 6|679|https://bga.uniandes.edu.co/catalogo/api/items/679|Botticelli wash and wear|1976|
677|https://bga.uniandes.edu.co/catalogo/api/items/677|Botticelli bocetos|1976||Marcador y lápiz sobre papel craft. Serie de 6|678|https://bga.uniandes.edu.co/catalogo/api/items/678|Botticelli Copertone|1976|
676|https://bga.uniandes.edu.co/catalogo/api/items/676|Boceto a posteriori de Botticelli wash and wear|1976|50x60 cm|Acrílico sobre tela de toalla ensamblada en toallero de bronce|679|https://bga.uniandes.edu.co/catalogo/api/items/679|Botticelli wash and wear|1976|
